                         Seat_comfort  Seat_Class  Arrival_time_convenient  Catering  Platform_location  Onboardwifi_service  Onboard_entertainment  Online_support  Onlinebooking_Ease  Onboard_service  Leg_room  Baggage_handling
Seat_comfort                 1.941753   -0.003592                 0.921065  1.433920          -0.135900             0.244274               0.803535        0.229344            0.392311         0.200746  0.243247          0.191364
Seat_Class                  -0.003592    0.250001                -0.005309 -0.003998          -0.003488            -0.001023              -0.001085       -0.001415            0.005570         0.000486  0.002597          0.000087
Arrival_time_convenient      0.921065   -0.005309                 2.321558  1.156563          -0.160345            -0.009177               0.156465       -0.005880            0.006957         0.094254  0.059497          0.107239
Catering                     1.433920   -0.003998                 1.156563  2.079561          -0.182913             0.049907               0.719019        0.056957            0.074758         0.060253  0.139389          0.061891
Platform_location           -0.135900   -0.003488                -0.160345 -0.182913           1.955692            -0.057852              -0.175401       -0.111741           -0.121994        -0.148049 -0.089333         -0.050990
Onboardwifi_service          0.244274   -0.001023                -0.009177  0.049907          -0.057852             1.734649               0.453342        0.955510            1.026440         0.085959  0.056010          0.049457
Onboard_entertainment        0.803535   -0.001085                 0.156465  0.719019          -0.175401             0.453342               1.809270        0.783842            0.573480         0.303103  0.287934          0.193422
Online_support               0.229344   -0.001415                -0.005880  0.056957          -0.111741             0.955510               0.783842        1.695566            1.051311         0.257965  0.246443          0.157680
Onlinebooking_Ease           0.392311    0.005570                 0.006957  0.074758          -0.121994             1.026440               0.573480        1.051311            1.704509         0.722824  0.606418          0.600119
Onboard_service              0.200746    0.000486                 0.094254  0.060253          -0.148049             0.085959               0.303103        0.257965            0.722824         1.626682  0.680239          0.789401
Leg_room                     0.243247    0.002597                 0.059497  0.139389          -0.089333             0.056010               0.287934        0.246443            0.606418         0.680239  1.667809          0.612052
Baggage_handling             0.191364    0.000087                 0.107239  0.061891          -0.050990             0.049457               0.193422        0.157680            0.600119         0.789401  0.612052          1.336395
                         Seat_comfort  Seat_Class  Arrival_time_convenient  Catering  Platform_location  Onboardwifi_service  Onboard_entertainment  Online_support  Onlinebooking_Ease  Onboard_service  Leg_room  Baggage_handling
Seat_comfort                 1.000000   -0.005155                 0.434494  0.712981          -0.069726             0.133094               0.428739        0.126408            0.215688         0.112798  0.135157          0.118795
Seat_Class                  -0.005155    1.000000                -0.006969 -0.005545          -0.004988            -0.001553              -0.001613       -0.002174            0.008532         0.000763  0.004021          0.000151
Arrival_time_convenient      0.434494   -0.006969                 1.000000  0.527365          -0.075248            -0.004578               0.076564       -0.002966            0.003499         0.048476  0.030221          0.060793
Catering                     0.712981   -0.005545                 0.527365  1.000000          -0.090658             0.026270               0.370530        0.030370            0.039714         0.032713  0.074939          0.037130
Platform_location           -0.069726   -0.004988                -0.075248 -0.090658           1.000000            -0.031410              -0.093245       -0.061363           -0.066813        -0.083022 -0.049461         -0.031540
Onboardwifi_service          0.133094   -0.001553                -0.004578  0.026270          -0.031410             1.000000               0.255897        0.557180            0.596931         0.051116  0.032927          0.032484
Onboard_entertainment        0.428739   -0.001613                 0.076564  0.370530          -0.093245             0.255897               1.000000        0.447543            0.326554         0.176582  0.165746          0.124394
Online_support               0.126408   -0.002174                -0.002966  0.030370          -0.061363             0.557180               0.447543        1.000000            0.618368         0.155128  0.146541          0.104739
Onlinebooking_Ease           0.215688    0.008532                 0.003499  0.039714          -0.066813             0.596931               0.326554        0.618368            1.000000         0.433364  0.359696          0.397656
Onboard_service              0.112798    0.000763                 0.048476  0.032713          -0.083022             0.051116               0.176582        0.155128            0.433364         1.000000  0.412767          0.535404
Leg_room                     0.135157    0.004021                 0.030221  0.074939          -0.049461             0.032927               0.165746        0.146541            0.359696         0.412767  1.000000          0.409931
Baggage_handling             0.118795    0.000151                 0.060793  0.037130          -0.031540             0.032484               0.124394        0.104739            0.397656         0.535404  0.409931          1.000000
